date,account,ticker,cluster,total_score,technical_score,fundamental_score,liquidity_score,time_decay_score,iv_rank,premium,dte,spread_pct,open_interest,distance_to_strike_pct,underlying_price,decision,reason,min_score,passed_filters,price_momentum_bonus
2026-09-01,A,FCX,copper_mining,108.1,20,45,20,15,40.03,4.475,44,4.157549234135676,1427,1.3650493309906813,73.99,GO,score>=gate,99,"{'max_risk_per_contract': 150, 'min_days_to_expiry': 31, 'min_implied_volatility_rank': 25, 'min_open_interest': 100, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 3}",0
2026-09-01,B,SMCI,ai_chips,126.9,30,45,20,15,70.83,2.8449999999999998,44,4.467353951890045,1973,3.647625602202347,36.325,GO,score>=gate,101,"{'max_risk_per_contract': 300, 'min_days_to_expiry': 31, 'min_implied_volatility_rank': 30, 'min_open_interest': 200, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 5}",0.0
2026-09-01,B,RKLB,space,126.1,30,50,15,15,66.86999999999999,4.24,44,5.057471264367811,7563,4.564975345951961,62.87,GO,score>=gate,101,"{'max_risk_per_contract': 300, 'min_days_to_expiry': 31, 'min_implied_volatility_rank': 30, 'min_open_interest': 200, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 5}",0
